               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.047243,            0.042786,            0.019894,             0.22346,              0.1883,             0.15859,            0.083715,            0.051684,            0.017627,            0.044239,           0.0064756,           0.0064756,           0.0064756
                  91,            0.046246,            0.041658,            0.019835,             0.45018,             0.16732,             0.19477,            0.087342,            0.051841,            0.018245,            0.046951,            0.006436,            0.006436,            0.006436
                  92,            0.046176,            0.039635,            0.020471,             0.32518,             0.17158,             0.18033,            0.089122,            0.053183,            0.017113,            0.036354,           0.0063964,           0.0063964,           0.0063964
                  93,             0.04594,            0.042425,            0.018677,               0.107,              0.1971,             0.10779,              0.0422,            0.051831,            0.017619,            0.038094,           0.0063568,           0.0063568,           0.0063568
                  94,            0.047026,            0.042227,            0.018147,             0.32721,             0.21704,             0.20671,               0.101,            0.053531,            0.017453,            0.037735,           0.0063172,           0.0063172,           0.0063172
                  95,            0.046319,            0.041395,            0.018818,             0.27627,             0.18127,             0.17323,            0.080754,            0.051889,            0.017046,            0.039185,           0.0062776,           0.0062776,           0.0062776
                  96,             0.04584,            0.043328,            0.018445,             0.36424,             0.22267,             0.23907,              0.1145,            0.052881,            0.016879,            0.034206,            0.006238,            0.006238,            0.006238
                  97,            0.044444,            0.040256,            0.018885,             0.34045,             0.22857,             0.24135,             0.10841,            0.051731,            0.017536,             0.03643,           0.0061984,           0.0061984,           0.0061984
                  98,            0.046436,            0.040758,            0.018632,             0.33457,             0.19863,              0.1984,             0.10925,             0.05432,              0.0173,            0.039268,           0.0061588,           0.0061588,           0.0061588
                  99,            0.045476,            0.042056,             0.01747,             0.34465,             0.23595,             0.20333,             0.10644,            0.049441,            0.017635,            0.038631,           0.0061192,           0.0061192,           0.0061192
                 100,            0.044661,             0.04052,            0.018595,             0.25427,             0.23184,             0.20465,             0.11047,            0.050888,            0.017082,            0.037464,           0.0060796,           0.0060796,           0.0060796
                 101,            0.046243,            0.041419,            0.015512,             0.31144,             0.17658,             0.15313,            0.078892,            0.051334,             0.01702,            0.041115,             0.00604,             0.00604,             0.00604
                 102,            0.044421,            0.037964,            0.017002,             0.39489,             0.23045,             0.20893,            0.099096,            0.053472,            0.017141,            0.035458,           0.0060004,           0.0060004,           0.0060004
                 103,            0.044206,            0.040555,            0.016457,              0.4028,             0.16676,             0.18617,            0.082261,            0.053018,            0.017796,            0.039917,           0.0059608,           0.0059608,           0.0059608
                 104,            0.044267,            0.040746,             0.01744,             0.33218,             0.22406,             0.19662,             0.09697,            0.050686,             0.01824,            0.038261,           0.0059212,           0.0059212,           0.0059212
                 105,            0.042847,            0.039678,            0.014864,             0.41825,             0.22695,             0.24635,             0.11116,            0.051614,            0.016986,            0.033852,           0.0058816,           0.0058816,           0.0058816
                 106,             0.04378,            0.039776,             0.01665,             0.43156,             0.24289,             0.27568,              0.1351,            0.050149,            0.017142,            0.035824,            0.005842,            0.005842,            0.005842
                 107,            0.043029,            0.040875,            0.017002,             0.28447,             0.25944,             0.22334,             0.11833,            0.049968,            0.017221,            0.033669,           0.0058024,           0.0058024,           0.0058024
                 108,            0.043677,            0.040611,              0.0166,             0.35123,             0.29399,             0.25737,              0.1293,             0.04978,            0.016845,            0.035816,           0.0057628,           0.0057628,           0.0057628
                 109,            0.042615,            0.039718,            0.015517,             0.41793,             0.21864,             0.23139,             0.13167,            0.051536,            0.016733,            0.036831,           0.0057232,           0.0057232,           0.0057232
                 110,            0.043703,            0.039312,            0.015551,             0.34851,              0.2368,             0.21827,             0.11111,            0.053693,            0.017205,            0.036137,           0.0056836,           0.0056836,           0.0056836
                 111,            0.043381,            0.037637,            0.016861,             0.22395,             0.30584,              0.1887,            0.091174,             0.05265,            0.017727,            0.040306,            0.005644,            0.005644,            0.005644
