               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.045785,            0.040575,            0.017685,             0.47718,             0.18874,             0.19283,            0.087465,            0.053685,            0.017208,            0.041523,           0.0061984,           0.0061984,           0.0061984
                  98,            0.047159,            0.040782,            0.017317,              0.3422,             0.19484,             0.16807,            0.076613,            0.055609,            0.017978,            0.038746,           0.0061588,           0.0061588,           0.0061588
                  99,            0.046408,            0.042114,            0.015525,             0.20443,             0.18682,             0.12457,            0.060705,            0.054768,            0.017019,            0.045612,           0.0061192,           0.0061192,           0.0061192
                 100,            0.046336,            0.041448,            0.017008,             0.38782,              0.1732,             0.19705,             0.10377,             0.05449,            0.017617,            0.042645,           0.0060796,           0.0060796,           0.0060796
                 101,            0.047675,            0.041992,            0.015239,             0.38115,             0.21813,             0.19201,            0.099438,            0.056404,            0.017459,            0.046249,             0.00604,             0.00604,             0.00604
                 102,            0.045918,            0.038971,            0.016027,             0.28316,             0.19393,             0.16516,            0.077746,            0.055646,             0.01748,              0.0406,           0.0060004,           0.0060004,           0.0060004
                 103,            0.045801,            0.041475,            0.015749,             0.42692,             0.16274,             0.20168,            0.090247,            0.053427,            0.018001,            0.042103,           0.0059608,           0.0059608,           0.0059608
                 104,            0.046179,             0.04146,            0.016776,             0.31021,             0.22344,              0.1825,            0.087739,            0.052776,            0.017833,            0.039543,           0.0059212,           0.0059212,           0.0059212
                 105,            0.044653,            0.040555,            0.014722,             0.21463,              0.1838,             0.16699,            0.086605,            0.052103,            0.017662,            0.037659,           0.0058816,           0.0058816,           0.0058816
                 106,            0.045391,            0.040871,            0.016041,             0.46437,             0.20462,             0.21779,             0.11436,            0.051546,            0.017851,            0.038776,            0.005842,            0.005842,            0.005842
                 107,            0.044939,            0.041963,            0.016303,             0.35148,             0.21017,             0.20471,            0.099048,            0.054391,            0.017442,            0.042255,           0.0058024,           0.0058024,           0.0058024
                 108,            0.045986,             0.04142,            0.016147,             0.39534,             0.23813,             0.20215,            0.092907,            0.052677,            0.017626,            0.036488,           0.0057628,           0.0057628,           0.0057628
                 109,            0.045121,            0.040699,            0.014402,             0.29084,             0.27162,             0.22302,             0.11486,            0.052904,            0.017832,            0.034645,           0.0057232,           0.0057232,           0.0057232
                 110,            0.046233,            0.040641,            0.014171,             0.22271,             0.19493,             0.15703,            0.085127,            0.053795,            0.017853,            0.037567,           0.0056836,           0.0056836,           0.0056836
                 111,            0.045143,            0.038851,            0.015272,             0.27297,             0.20503,             0.17195,            0.089423,            0.053363,            0.018481,            0.041069,            0.005644,            0.005644,            0.005644
                 112,            0.045102,            0.040463,            0.015919,              0.4543,             0.19223,             0.18611,            0.088171,            0.052142,            0.017478,            0.037449,           0.0056044,           0.0056044,           0.0056044
                 113,            0.045458,            0.040538,            0.014361,             0.45483,             0.21167,              0.2101,            0.095658,            0.053671,            0.017865,            0.039101,           0.0055648,           0.0055648,           0.0055648
                 114,            0.044739,            0.039776,            0.013653,             0.37225,              0.2318,               0.188,            0.087197,            0.053589,            0.017951,            0.037239,           0.0055252,           0.0055252,           0.0055252
                 115,            0.044198,            0.039195,              0.0139,             0.44663,             0.20347,             0.21034,              0.1111,            0.052147,            0.017767,            0.036793,           0.0054856,           0.0054856,           0.0054856
                 116,            0.044914,            0.040114,            0.012918,              0.2688,             0.20793,             0.18733,            0.086873,              0.0531,            0.017578,            0.040409,            0.005446,            0.005446,            0.005446
                 117,            0.045255,            0.039991,            0.013288,             0.25596,             0.23802,             0.15655,            0.072635,            0.054026,            0.018175,            0.039902,           0.0054064,           0.0054064,           0.0054064
                 118,            0.044688,            0.038414,            0.014955,             0.17859,             0.14483,             0.12945,            0.067334,            0.054521,            0.018022,            0.042892,           0.0053668,           0.0053668,           0.0053668
                 119,            0.045164,            0.039144,            0.014705,             0.27794,             0.24683,             0.19702,            0.093386,            0.054403,            0.017385,            0.037762,           0.0053272,           0.0053272,           0.0053272
                 120,            0.044442,            0.038754,            0.014792,              0.2227,             0.16542,             0.15378,             0.06386,            0.054904,            0.017691,            0.042507,           0.0052876,           0.0052876,           0.0052876
                 121,             0.04416,            0.041111,            0.014032,             0.53138,             0.15322,              0.1651,            0.082661,            0.054693,             0.01792,             0.04187,            0.005248,            0.005248,            0.005248
                 122,            0.043981,            0.040267,            0.014817,              0.3169,             0.25607,             0.19223,            0.094822,            0.055284,            0.017873,            0.043613,           0.0052084,           0.0052084,           0.0052084
                 123,             0.04333,            0.038463,            0.014278,             0.29398,             0.19189,             0.16456,             0.08618,              0.0541,            0.018101,            0.040154,           0.0051688,           0.0051688,           0.0051688
                 124,            0.043391,            0.037426,            0.014285,             0.21138,               0.192,             0.14211,            0.074201,            0.052569,            0.017915,            0.042202,           0.0051292,           0.0051292,           0.0051292
                 125,            0.043852,            0.038172,            0.014562,             0.20885,             0.24278,              0.1796,             0.08968,            0.053111,            0.017869,            0.042931,           0.0050896,           0.0050896,           0.0050896
                 126,            0.043151,            0.039326,            0.013578,             0.29145,             0.20303,             0.15943,            0.070856,            0.055603,            0.017883,            0.044853,             0.00505,             0.00505,             0.00505
                 127,            0.043919,            0.040417,            0.013021,             0.40435,              0.1632,             0.16262,            0.083592,            0.055814,            0.017546,            0.046043,           0.0050104,           0.0050104,           0.0050104
                 128,            0.043353,            0.036948,            0.013478,             0.41312,             0.21022,             0.22543,             0.10131,             0.05478,            0.018095,            0.040977,           0.0049708,           0.0049708,           0.0049708
                 129,            0.043201,            0.038857,            0.013607,             0.27609,             0.18004,             0.18736,            0.085362,            0.052881,            0.018159,            0.039959,           0.0049312,           0.0049312,           0.0049312
                 130,            0.043367,            0.039193,            0.012075,             0.34206,             0.22195,             0.20626,             0.09832,            0.052702,            0.018709,            0.042053,           0.0048916,           0.0048916,           0.0048916
                 131,            0.042784,             0.03836,            0.013238,             0.30743,             0.21031,             0.21553,            0.095858,            0.053091,            0.017619,            0.041332,            0.004852,            0.004852,            0.004852
                 132,            0.043432,            0.037012,            0.013582,             0.39909,              0.1731,             0.18957,            0.097242,            0.051954,            0.018367,            0.046532,           0.0048124,           0.0048124,           0.0048124
                 133,            0.042858,            0.038121,            0.012358,             0.31038,              0.2189,             0.16979,            0.086951,            0.052244,            0.018671,            0.040794,           0.0047728,           0.0047728,           0.0047728
                 134,            0.043004,            0.039291,            0.012503,              0.1774,             0.23392,             0.15802,             0.08797,            0.051909,            0.017948,            0.037262,           0.0047332,           0.0047332,           0.0047332
                 135,            0.042881,            0.038933,            0.012457,             0.21234,             0.20067,             0.15919,            0.076789,            0.052803,            0.017635,            0.036762,           0.0046936,           0.0046936,           0.0046936
                 136,            0.042412,            0.039059,            0.011555,             0.36891,             0.18072,             0.20314,             0.10639,            0.050826,            0.018129,            0.034389,            0.004654,            0.004654,            0.004654
                 137,            0.042827,            0.038008,            0.011652,             0.29041,             0.19745,             0.17603,            0.088073,            0.051234,            0.018188,            0.034065,           0.0046144,           0.0046144,           0.0046144
                 138,            0.042236,            0.038534,            0.011838,             0.23332,             0.20344,             0.15493,            0.080173,             0.05257,             0.01827,            0.040066,           0.0045748,           0.0045748,           0.0045748
                 139,            0.042288,            0.038534,            0.012608,                0.29,             0.22948,             0.16844,            0.078319,            0.052618,            0.017837,            0.039024,           0.0045352,           0.0045352,           0.0045352
                 140,            0.041924,            0.039411,             0.01264,             0.25257,             0.18277,             0.16155,            0.085379,            0.053082,            0.017802,            0.039124,           0.0044956,           0.0044956,           0.0044956
                 141,            0.041459,            0.038425,            0.012755,             0.19187,             0.25788,             0.15661,            0.085592,            0.054523,            0.018104,            0.039074,            0.004456,            0.004456,            0.004456
                 142,            0.042355,            0.037308,            0.012485,              0.4038,             0.19922,             0.18545,             0.08982,            0.054649,            0.017762,            0.042976,           0.0044164,           0.0044164,           0.0044164
                 143,            0.042094,            0.037573,            0.011109,             0.21464,             0.27566,             0.17602,            0.091609,            0.053036,            0.017756,            0.044121,           0.0043768,           0.0043768,           0.0043768
                 144,            0.041524,            0.036545,             0.01209,             0.29064,             0.21972,             0.18097,            0.083066,            0.053955,            0.018083,            0.039246,           0.0043372,           0.0043372,           0.0043372
                 145,             0.04079,            0.037096,            0.012618,              0.3136,             0.24864,             0.20416,             0.10061,            0.050962,            0.018373,            0.032692,           0.0042976,           0.0042976,           0.0042976
                 146,              0.0422,            0.038058,            0.011705,             0.27044,             0.23296,             0.21389,             0.10959,             0.05339,            0.018156,            0.036034,            0.004258,            0.004258,            0.004258
                 147,            0.042142,            0.036925,            0.011807,              0.2375,             0.26093,             0.18352,            0.090734,            0.051697,             0.01823,            0.037773,           0.0042184,           0.0042184,           0.0042184
                 148,            0.041148,            0.038333,             0.01225,             0.22396,             0.26349,              0.1778,            0.093606,            0.052871,            0.018079,            0.039112,           0.0041788,           0.0041788,           0.0041788
                 149,            0.041656,            0.037269,            0.011193,             0.28751,             0.20073,             0.18895,             0.10034,            0.052951,            0.017955,            0.039639,           0.0041392,           0.0041392,           0.0041392
                 150,            0.041468,            0.036106,            0.011941,             0.32097,             0.22125,             0.20749,             0.10665,            0.053884,            0.017715,            0.041836,           0.0040996,           0.0040996,           0.0040996
                 151,            0.041228,            0.037645,            0.010796,             0.43364,             0.21095,             0.21224,             0.10546,            0.052303,            0.018163,            0.041126,             0.00406,             0.00406,             0.00406
                 152,            0.040108,             0.03716,            0.011448,             0.25825,             0.25088,             0.20383,             0.10587,            0.051152,            0.018875,            0.036079,           0.0040204,           0.0040204,           0.0040204
                 153,            0.040971,             0.03667,            0.011481,             0.25347,             0.25448,             0.18043,            0.087977,            0.050747,            0.018322,            0.041077,           0.0039808,           0.0039808,           0.0039808
                 154,            0.041217,            0.037751,            0.010348,              0.2621,             0.24024,             0.19137,            0.094718,            0.051891,            0.018494,            0.037106,           0.0039412,           0.0039412,           0.0039412
                 155,            0.041298,            0.038773,            0.009291,             0.25841,             0.22076,             0.18981,            0.095211,             0.05086,            0.018152,            0.043655,           0.0039016,           0.0039016,           0.0039016
